,source,target,value
9,Craster,Mance Rayder,12
21,Arya Stark,Sandor Clegane,19
28,Cersei Lannister,Tywin Lannister,20
31,Lysa Arryn,Robin Arryn,11
34,Lysa Arryn,Petyr Baelish,12
39,Davos Seaworth,Stannis Baratheon,12
42,Cersei Lannister,Jaime Lannister,20
49,Grey Worm,Theon Greyjoy,40
58,Barristan Selmy,Jorah Mormont,17
63,Ellaria Sand,Tywin Lannister,11
68,Joffrey Baratheon,Tyrion Lannister,22
69,Sansa Stark,Tyrion Lannister,19
70,Joffrey Baratheon,Sansa Stark,25
73,Oberyn Martell,Tyrion Lannister,15
74,Dontos Hollard,Sansa Stark,25
75,Dontos Hollard,Joffrey Baratheon,13
76,Black Lorren,Joffrey Baratheon,15
77,Black Lorren,Tyrion Lannister,11
87,Shae,Tyrion Lannister,16
91,Cersei Lannister,Joffrey Baratheon,17
98,Tormund Giantsbane,Ygritte,15
108,Black Lorren,Jon Snow,21
117,Black Lorren,Mance Rayder,32
120,Black Lorren,Tormund Giantsbane,13
123,Grenn,Jon Snow,20
137,Jon Snow,Ygritte,16
142,Jon Snow,Mance Rayder,12
166,Bran Stark,Hodor,24
198,Tyrion Lannister,Tywin Lannister,21
201,Gregor Clegane,Oberyn Martell,11
213,Black Lorren,Thenn Warg,12
234,Grey Worm,Missandei,13
238,Petyr Baelish,Sansa Stark,28
258,Black Lorren,Craster,12
270,Dontos Hollard,Petyr Baelish,14
278,Jaime Lannister,Tyrion Lannister,21
308,Gregor Clegane,Qyburn,11
326,Jojen Reed,Meera Reed,19
333,Arya Stark,Brienne of Tarth,12
335,Brienne of Tarth,Sandor Clegane,18
