,source,target,value
0,Grey Worm,Missandei,24
2,Daario Naharis,Daenerys Targaryen,50
4,Barristan Selmy,Hizdahr zo Loraq,13
5,Barristan Selmy,Daenerys Targaryen,13
6,Daario Naharis,Hizdahr zo Loraq,18
7,Daenerys Targaryen,Hizdahr zo Loraq,30
9,Jon Snow,Maester Aemon,28
10,Jon Snow,Tormund Giantsbane,67
11,Mance Rayder,Tormund Giantsbane,14
14,Jon Snow,Stannis Baratheon,46
15,Davos Seaworth,Jon Snow,28
16,Davos Seaworth,Stannis Baratheon,28
20,Jon Snow,Olly,57
22,Brienne of Tarth,Podrick Payne,51
27,Myranda,Ramsay Bolton,18
28,Ramsay Bolton,Sansa Stark,60
29,Myranda,Sansa Stark,28
30,Sansa Stark,Theon Greyjoy,75
31,Myranda,Theon Greyjoy,12
32,Ramsay Bolton,Theon Greyjoy,71
33,Ramsay Bolton,Roose Bolton,18
36,Grey Worm,Theon Greyjoy,16
43,Ramsay Bolton,Stannis Baratheon,15
44,Black Lorren,Stannis Baratheon,22
55,Melisandre,Stannis Baratheon,41
63,Barristan Selmy,Grey Worm,16
65,Daenerys Targaryen,Missandei,14
66,Daario Naharis,Missandei,23
68,Jorah Mormont,Tyrion Lannister,125
69,Daenerys Targaryen,Tyrion Lannister,25
70,Daenerys Targaryen,Jorah Mormont,61
73,Arya Stark,Jaqen H'ghar,88
75,Cersei Lannister,Margaery Tyrell,31
76,Margaery Tyrell,Tommen Baratheon,27
77,Cersei Lannister,Tommen Baratheon,28
87,Brienne of Tarth,Sansa Stark,17
94,Brienne of Tarth,Renly Baratheon,19
96,Black Lorren,Jon Snow,17
103,Arya Stark,Black Lorren,16
105,Alliser Thorne,Jon Snow,44
106,Alliser Thorne,Janos Slynt,11
109,Janos Slynt,Jon Snow,12
113,High Septon,Olyvar,13
119,Cersei Lannister,High Septon,35
120,Cersei Lannister,Qyburn,22
121,Mace Tyrell,Qyburn,14
122,High Septon,High Sparrow,50
123,Cersei Lannister,Meryn Trant,21
139,Cersei Lannister,Tywin Lannister,21
142,Tyrion Lannister,Varys,50
144,Jorah Mormont,Varys,19
147,Melisandre,Selyse Florent,11
149,Jon Snow,Melisandre,36
154,Davos Seaworth,Shireen Baratheon,25
156,Doran Martell,Jaime Lannister,11
157,Areo Hotah,Doran Martell,23
158,Doran Martell,Myrcella Baratheon,16
159,Myrcella Baratheon,Trystane Martell,28
160,Jaime Lannister,Myrcella Baratheon,22
161,Ellaria Sand,Jaime Lannister,24
162,Doran Martell,Ellaria Sand,31
168,Bronn,Jaime Lannister,101
169,Bronn,Trystane Martell,12
170,Jaime Lannister,Trystane Martell,18
171,Bronn,Tyene Sand,21
172,Nymeria Sand,Tyene Sand,19
175,Areo Hotah,Bronn,16
180,Arya Stark,Meryn Trant,35
192,Shireen Baratheon,Stannis Baratheon,32
196,Daario Naharis,Tyrion Lannister,20
198,Daario Naharis,Jorah Mormont,13
199,Missandei,Tyrion Lannister,21
201,Daenerys Targaryen,Khal Drogo,21
203,Cersei Lannister,Jaime Lannister,12
223,Cersei Lannister,Loras Tyrell,14
224,Loras Tyrell,Margaery Tyrell,16
226,Cersei Lannister,Lancel Lannister,11
231,High Septon,Loras Tyrell,14
234,Loras Tyrell,Olyvar,15
241,Jon Snow,Thenn Warg,11
242,Mance Rayder,Stannis Baratheon,15
251,Sansa Stark,Stannis Baratheon,18
261,Gilly,Jon Snow,15
271,Bronn,Myrcella Baratheon,13
306,Daario Naharis,Grey Worm,12
360,Grey Worm,Jorah Mormont,14
375,Bran Stark,Rickon Stark,17
387,Brienne of Tarth,Stannis Baratheon,12
