,source,target,value
8,Jaime Lannister,Robb Stark,30
16,Cersei Lannister,Joffrey Baratheon,30
21,Jaime Lannister,Joffrey Baratheon,15
27,Renly Baratheon,Stannis Baratheon,17
35,Joffrey Baratheon,Tywin Lannister,14
37,Robb Stark,Theon Greyjoy,17
42,Joffrey Baratheon,Robb Stark,15
45,Bran Stark,Rickon Stark,11
50,Joffrey Baratheon,Stannis Baratheon,31
51,Robb Stark,Stannis Baratheon,15
52,Grey Worm,Robb Stark,15
69,Grey Worm,Theon Greyjoy,44
80,Craster,Gilly,13
82,Bran Stark,Hodor,18
96,Joffrey Baratheon,Sansa Stark,25
167,Jaime Lannister,Robert Baratheon,18
170,Joffrey Baratheon,Tyrion Lannister,20
173,Cersei Lannister,Tyrion Lannister,26
183,Arya Stark,Gendry,28
184,Arya Stark,Jaqen H'ghar,13
192,Arya Stark,Yoren,11
194,Tyrion Lannister,Varys,17
196,Shae,Tyrion Lannister,18
206,Gilly,Jon Snow,13
209,Daenerys Targaryen,Jorah Mormont,20
210,Daenerys Targaryen,Irri,12
213,Daenerys Targaryen,Rakharo,13
216,Janos Slynt,Tyrion Lannister,13
222,Bronn,Tyrion Lannister,23
228,Hot Pie,Lommy Greenhands,11
234,Theon Greyjoy,Yara Greyjoy,22
237,Davos Seaworth,Matthos Seaworth,24
238,Matthos Seaworth,Stannis Baratheon,11
241,Davos Seaworth,Stannis Baratheon,26
243,Melisandre,Stannis Baratheon,15
265,Myrcella Baratheon,Tommen Baratheon,12
289,Hodor,Osha,11
299,Dontos Hollard,Joffrey Baratheon,12
300,Dontos Hollard,Meryn Trant,15
