,source,target,value
9,Cersei Lannister,Joffrey Baratheon,13
12,Arya Stark,Jon Snow,13
13,Cersei Lannister,Jon Snow,15
20,Jon Snow,Jorah Mormont,11
43,Arya Stark,Cersei Lannister,12
59,Cersei Lannister,Tyrion Lannister,19
60,Cersei Lannister,Daenerys Targaryen,19
66,Euron Greyjoy,Grey Worm,49
68,Jon Snow,Tyrion Lannister,12
69,Daenerys Targaryen,Jon Snow,24
93,Eddard Stark,Jon Snow,16
109,Daenerys Targaryen,Tyrion Lannister,16
126,Cersei Lannister,Night King,13
134,Archmaester Ebrose,Grey Worm,11
138,Cersei Lannister,Grey Worm,14
212,Dickon Tarly,Randyll Tarly,11
